Time,x
1,0.0
2,0.30471707975443135
3,-0.7352670264860641
4,0.015184169320393126
5,0.955748885711607
6,-0.9952863029422294
7,-2.2974658098045477
8,-2.1696254066372624
9,-2.4858679989808445
10,-2.5026691564851333
11,-3.3557130840587135
12,-2.476315109195885
13,-1.6985231737669366
14,-1.6324924762057207
15,-0.5052512692376878
16,-0.037741926985642216
17,-0.8970343898688804
18,-0.5282836057863816
19,-1.4871662066153806
20,-0.608715905308108
21,-0.6586418162943609
22,-0.8435041798396214
23,-1.5244337242435628
24,-0.3018923855695326
25,-0.4564218676383347
26,-0.884749689801442
27,-1.2368832402896714
28,-0.7045740547363227
29,-0.3391299903722444
30,0.073602621223744
31,0.5044236242316267
32,2.646071225102088
33,2.2396562087174727
34,1.7274134796459353
35,0.9136407513980576
36,1.5296201739735533
37,2.658592466694445
38,2.54464500903957
39,1.704488532077042
40,0.8800073163858024
41,1.5306001042105035
42,2.273854275413946
43,2.817008543719141
44,2.1514988364304464
45,2.383660159497166
46,2.500345968637894
47,2.7190345653669072
48,3.590463343315097
49,3.814058892089779
50,4.492972455161674
51,4.560551524650565
52,4.8496709233405495
53,5.48095914917909
54,4.023803329323424
55,3.704132112966122
56,3.233759458673327
57,2.5948816104299848
58,2.319739359203301
59,3.814680670437697
60,2.948849554744454
61,3.917127909335935
62,2.23425813772013
63,1.8993731077343552
64,2.0621261728393607
65,2.6483485041986388
66,3.3595750839914937
67,4.152922319191419
68,3.804197246942982
69,3.3418454542784146
70,4.199821335535568
71,4.008517010653954
72,2.7328306873160315
73,1.5995434733125509
74,0.6800911873109395
75,1.1772519313647036
76,1.3196776674352688
77,2.010163021503037
78,1.5829103751665028
79,1.741450066243217
80,2.367040460210554
81,2.0576939204903155
82,2.514469158047727
83,1.8525432169810756
84,1.489489370416004
85,1.1077514764176748
86,-0.08808816917136486
87,0.39888431161421695
88,-0.07051802858850692
89,-0.05802390986081949
90,0.42272274904508944
91,0.8692539250750335
92,1.5346390340478198
93,1.4361535495383961
94,1.0128552374942423
95,0.9331370265878433
96,-0.7541974073701866
97,-2.201309879793274
98,-3.5240094921476763
99,-4.521256319749158
100,-4.121482093025722
101,-5.026961148385783
102,-5.405123702425173
103,-4.105895404639107
104,-4.462159375700534
105,-3.724643807233447
106,-4.658261487243324
107,-4.8636990451109545
108,-5.813721100021536
109,-6.152754175922099
110,-5.312446038464703
111,-7.039766461657051
112,-6.605342818111194
113,-6.367607215778916
114,-6.9617571714757105
115,-8.407815025864165
116,-8.335685518150296
117,-8.865178227214098
118,-8.632502015859394
119,-8.610649870335951
120,-7.008870979015036
121,-7.2482266064880605
122,-8.271724099109925
123,-8.092448464153609
124,-7.872451780181843
125,-6.513264204941407
126,-5.6781529590268285
127,-5.321281899877319
128,-3.8579790086577574
129,-5.046742062980608
130,-5.686493595730356
131,-6.613069537135881
132,-7.002879340291649
133,-8.379565487847959
134,-7.744414541033555
135,-7.9666372381323285
136,-9.437443532634987
137,-10.453022613842528
138,-10.139508766392332
139,-9.30138219849795
140,-7.304651306806164
141,-4.390788840798835
142,-3.9763794075228382
143,-4.965917527554702
144,-7.0979638082860115
145,-6.830252345942176
146,-7.643193441252502
147,-8.058550701432187
148,-8.670647500491995
149,-8.81143838690838
150,-7.745458156120736
151,-7.5884095886753915
152,-7.74704442571408
153,-8.782698178539892
154,-10.457381123244248
155,-10.943689032317579
156,-10.9974715831359
157,-9.229541669556017
158,-9.09926714808313
159,-8.116527637060074
160,-8.615823235599226
161,-9.80076700201625
162,-10.765883764248622
163,-11.491109828784376
164,-9.362640096349212
165,-10.184026775573598
166,-9.345537571837253
167,-10.24846474992428
168,-9.316891737050035
169,-8.931940770944172
170,-9.088578668602262
171,-9.129341194737696
172,-9.784128890167088
173,-9.338056688685008
174,-9.793040169025788
175,-11.018645932793037
176,-12.296583507112656
177,-12.123995589390537
178,-10.544904332980103
179,-10.384912719406664
180,-10.503551045516547
181,-10.217724905914004
182,-8.91172316420718
183,-8.692340662843323
184,-9.10326789367706
185,-7.996979183617171
186,-7.568222745155557
187,-6.032466753159565
188,-5.849232315937659
189,-7.073701347658159
190,-8.441860546903824
191,-6.790932614672574
192,-5.067266893889277
193,-5.246786107171878
194,-5.629973428307865
195,-4.168529136065663
196,-5.275574818109151
197,-6.170301837064978
198,-5.526975042375933
199,-5.921580165235523
200,-5.926702031955594
